NAME,CODE,Digit_Match_Level,Count,LEN
ADHD/ANTI-NARCOLEPSY/ANTI-OBESITY/ANOREXIANTS,6100000000,2 digit,1,10
ALTERNATIVE MEDICINES,9500000000,2 digit,2,10
AMEBICIDES,1400000000,2 digit,3,10
AMINOGLYCOSIDES,0700000000,2 digit,4,10
ANALGESICS - ANTI-INFLAMMATORY,0900000000,2 digit,5,10
ANALGESICS - NONNARCOTIC,0200000000,2 digit,6,10
ANALGESICS - OPIOID,0500000000,2 digit,7,10
ANDROGENS-ANABOLIC,0300000000,2 digit,8,10
ANORECTAL AGENTS,0100000000,2 digit,9,10
ANTACIDS,0800000000,2 digit,10,10
ANTHELMINTICS,0400000000,2 digit,11,10
ANTI-INFECTIVE AGENTS - MISC.,0700000000,2 digit,12,10
ANTIANGINAL AGENTS,0120000000,2 digit,13,10
ANTIANXIETY AGENTS,0999000000,2 digit,14,10
ANTIARRHYTHMICS,0900000000,2 digit,15,10
ANTIASTHMATIC AND BRONCHODILATOR AGENTS,0340000000,2 digit,16,10
ANTICOAGULANTS,0210000000,2 digit,17,10
ANTICONVULSANTS,0220000000,2 digit,18,10
ANTIDEPRESSANTS,0230000000,2 digit,19,10
ANTIDIABETICS,0240000000,2 digit,20,10
ANTIDIARRHEALS,0250000000,2 digit,21,10
ANTIDOTES,0350000000,2 digit,22,10
ANTIEMETICS,0310000000,2 digit,23,10
ANTIFUNGALS,0140000000,2 digit,24,10
ANTIHISTAMINES,0353000000,2 digit,25,10
ANTIHYPERLIPIDEMICS,0500000000,2 digit,26,10
ANTIHYPERTENSIVES,0110000000,2 digit,27,10
ANTIMALARIALS,0199000000,2 digit,28,10
ANTIMYASTHENIC AGENTS,0130000000,2 digit,29,10
ANTIMYCOBACTERIAL AGENTS,0800000000,2 digit,30,10
ANTINEOPLASTICS AND ADJUNCTIVE THERAPIES,0499000000,2 digit,31,10
ANTIPARKINSON AGENTS,0400000000,2 digit,32,10
ANTIPSYCHOTICS/ANTIMANIC AGENTS,5900000000,2 digit,33,10
ANTISEPTICS & DISINFECTANTS,9200000000,2 digit,34,10
ANTIVIRALS,1200000000,2 digit,35,10
ASSORTED CLASSES,9900000000,2 digit,36,10
BETA BLOCKERS,3300000000,2 digit,37,10
BIOLOGICALS MISC,2000000000,2 digit,38,10
CALCIUM CHANNEL BLOCKERS,3400000000,2 digit,39,10
CARDIOTONICS,3100000000,2 digit,40,10
CARDIOVASCULAR AGENTS - MISC.,4000000000,2 digit,41,10
CEPHALOSPORINS,0200000000,2 digit,42,10
CHEMICALS,9600000000,2 digit,43,10
CONTRACEPTIVES,2500000000,2 digit,44,10
CORTICOSTEROIDS,2200000000,2 digit,45,10
COUGH/COLD/ALLERGY,4300000000,2 digit,46,10
DERMATOLOGICALS,9000000000,2 digit,47,10
DIAGNOSTIC PRODUCTS,9400000000,2 digit,48,10
DIETARY PRODUCTS/DIETARY MANAGEMENT PRODUCTS,8100000000,2 digit,49,10
DIGESTIVE AIDS,5100000000,2 digit,50,10
DIURETICS,3700000000,2 digit,51,10
ENDOCRINE AND METABOLIC AGENTS - MISC.,3000000000,2 digit,52,10
ESTROGENS,2400000000,2 digit,53,10
FLUOROQUINOLONES,0500000000,2 digit,54,10
GASTROINTESTINAL AGENTS - MISC.,5200000000,2 digit,55,10
GENERAL ANESTHETICS,7000000000,2 digit,56,10
GENITOURINARY AGENTS - MISCELLANEOUS,5600000000,2 digit,57,10
GOUT AGENTS,6800000000,2 digit,58,10
HEMATOLOGICAL AGENTS - MISC.,8500000000,2 digit,59,10
HEMATOPOIETIC AGENTS,8200000000,2 digit,60,10
HEMOSTATICS,8400000000,2 digit,61,10
HYPNOTICS,6000000000,2 digit,62,10
LAXATIVES,4600000000,2 digit,63,10
LOCAL ANESTHETICS-PARENTERAL,6900000000,2 digit,64,10
MACROLIDES,0300000000,2 digit,65,10
MEDICAL DEVICES,9700000000,2 digit,66,10
MIGRAINE PRODUCTS,6700000000,2 digit,67,10
MINERALS & ELECTROLYTES,7900000000,2 digit,68,10
MOUTH/THROAT/DENTAL AGENTS,8800000000,2 digit,69,10
MULTIVITAMINS,7800000000,2 digit,70,10
MUSCULOSKELETAL THERAPY AGENTS,7500000000,2 digit,71,10
NASAL AGENTS - SYSTEMIC AND TOPICAL,4200000000,2 digit,72,10
NEUROMUSCULAR AGENTS,7400000000,2 digit,73,10
NUTRIENTS,8000000000,2 digit,74,10
OPHTHALMIC AGENTS,8600000000,2 digit,75,10
OTIC AGENTS,8700000000,2 digit,76,10
OXYTOCICS,2900000000,2 digit,77,10
PASSIVE IMMUNIZING AGENTS,1900000000,2 digit,78,10
PENICILLINS,0100000000,2 digit,79,10
PHARMACEUTICAL ADJUVANTS,9800000000,2 digit,80,10
PROGESTINS,2600000000,2 digit,81,10
PSYCHOTHERAPEUTIC AND NEUROLOGICAL AGENTS - MISC.,6200000000,2 digit,82,10
RESPIRATORY AGENTS - MISC.,4500000000,2 digit,83,10
SULFONAMIDES,0800000000,2 digit,84,10
TETRACYCLINES,0400000000,2 digit,85,10
THYROID AGENTS,2800000000,2 digit,86,10
TOXOIDS,1800000000,2 digit,87,10
ULCER DRUGS,4900000000,2 digit,88,10
URINARY ANTI-INFECTIVES,5300000000,2 digit,89,10
URINARY ANTISPASMODICS,5400000000,2 digit,90,10
VACCINES,1700000000,2 digit,91,10
VAGINAL PRODUCTS,5500000000,2 digit,92,10
VASOPRESSORS,3800000000,2 digit,93,10
VITAMINS,7700000000,2 digit,94,10
5-HT3 RECEPTOR ANTAGONISTS,5025000000,4 digit,1,10
ABORTIFACIENTS/AGENTS FOR CERVICAL RIPENING,2920000000,4 digit,2,10
ACE INHIBITORS,3610000000,4 digit,3,10
ACIDIFIERS,5610000000,4 digit,4,10
"ACIDS, BASES, & BUFFERS",9610000000,4 digit,5,10
ACNE PRODUCTS,9005000000,4 digit,6,10
AGENTS FOR CHEMICAL DEPENDENCY,6280000000,4 digit,7,10
AGENTS FOR EXTERNAL GENITAL AND PERIANAL WARTS,9076000000,4 digit,8,10
AGENTS FOR FACIAL WRINKLES,9088000000,4 digit,9,10
AGENTS FOR GAUCHER DISEASE,8270000000,4 digit,10,10
AGENTS FOR PHEOCHROMOCYTOMA,3630000000,4 digit,11,10
AGENTS FOR SICKLE CELL ANEMIA,8280000000,4 digit,12,10
ALKALINIZERS,5620000000,4 digit,13,10
ALKALIZING AGENTS,9805000000,4 digit,14,10
ALKYLATING AGENTS,2110000000,4 digit,15,10
ALLERGENIC EXTRACTS,2010000000,4 digit,16,10
ALPHA-2 RECEPTOR ANTAGONISTS (TETRACYCLICS),5803000000,4 digit,17,10
ALPHA-BETA BLOCKERS,3330000000,4 digit,18,10
ALPHA-GLUCOSIDASE INHIBITORS,2750000000,4 digit,19,10
ALPHA-PROTEINASE INHIBITOR (HUMAN),4510000000,4 digit,20,10
ALS AGENTS,7450000000,4 digit,21,10
ALTERNATIVE MEDICINE - A'S,9503000000,4 digit,22,10
ALTERNATIVE MEDICINE - B'S,9506000000,4 digit,23,10
ALTERNATIVE MEDICINE - C'S,9509000000,4 digit,24,10
ALTERNATIVE MEDICINE - D'S,9512000000,4 digit,25,10
ALTERNATIVE MEDICINE - E'S,9515000000,4 digit,26,10
ALTERNATIVE MEDICINE - F'S,9518000000,4 digit,27,10
ALTERNATIVE MEDICINE - G'S,9521000000,4 digit,28,10
ALTERNATIVE MEDICINE - H'S,9524000000,4 digit,29,10
ALTERNATIVE MEDICINE - K'S,9533000000,4 digit,30,10
ALTERNATIVE MEDICINE - L'S,9536000000,4 digit,31,10
ALTERNATIVE MEDICINE - M'S,9539000000,4 digit,32,10
ALTERNATIVE MEDICINE - N'S,9542000000,4 digit,33,10
ALTERNATIVE MEDICINE - O'S,9545000000,4 digit,34,10
ALTERNATIVE MEDICINE - P'S,9548000000,4 digit,35,10
ALTERNATIVE MEDICINE - R'S,9554000000,4 digit,36,10
ALTERNATIVE MEDICINE - S'S,9557000000,4 digit,37,10
ALTERNATIVE MEDICINE - T'S,9560000000,4 digit,38,10
ALTERNATIVE MEDICINE - U,9563000000,4 digit,39,10
ALTERNATIVE MEDICINE - V'S,9566000000,4 digit,40,10
ALTERNATIVE MEDICINE - W'S,9569000000,4 digit,41,10
ALTERNATIVE MEDICINE - Y'S,9575000000,4 digit,42,10
ALTERNATIVE MEDICINE COMBINATIONS,9599000000,4 digit,43,10
AMEBICIDES,1400000000,4 digit,44,10
AMINOGLYCOSIDES,0700000000,4 digit,45,10
AMINOPENICILLINS,0120000000,4 digit,46,10
AMPHETAMINES,6110000000,4 digit,47,10
ANABOLIC STEROIDS,2320000000,4 digit,48,10
ANALEPTICS,6130000000,4 digit,49,10
ANALGESIC COMBINATIONS,6499000000,4 digit,50,10
ANALGESICS - ANTI-INFLAMMATORY COMBINATIONS,6699000000,4 digit,51,10
ANALGESICS - TOPICAL,9007000000,4 digit,52,10
ANALGESICS OTHER,6420000000,4 digit,53,10
ANALGESICS-PEPTIDE CHANNEL BLOCKERS,6415000000,4 digit,54,10
ANAPHYLAXIS THERAPY AGENTS,3890000000,4 digit,55,10
ANDROGENS,2310000000,4 digit,56,10
ANESTHETICS - MISC.,7040000000,4 digit,57,10
ANESTHETICS TOPICAL ORAL,8835000000,4 digit,58,10
ANGIOTENSIN II RECEPTOR ANTAGONISTS,3615000000,4 digit,59,10
ANOREXIANTS NON-AMPHETAMINE,6120000000,4 digit,60,10
ANTACID COMBINATIONS,4899000000,4 digit,61,10
ANTACIDS - ALUMINUM SALTS,4810000000,4 digit,62,10
ANTACIDS - BICARBONATE,4820000000,4 digit,63,10
ANTACIDS - CALCIUM SALTS,4830000000,4 digit,64,10
ANTACIDS - MAGNESIUM SALTS,4840000000,4 digit,65,10
ANTACIDS - SODIUM CITRATE,4850000000,4 digit,66,10
ANTHELMINTICS,1500000000,4 digit,67,10
ANTI TB COMBINATIONS,0999000000,4 digit,68,10
ANTI-CATAPLECTIC AGENTS,6245000000,4 digit,69,10
ANTI-INFECTIVE AGENTS - MISC.,1600000000,4 digit,70,10
ANTI-INFECTIVE MISC. - COMBINATIONS,1699000000,4 digit,71,10
ANTI-INFECTIVES - THROAT,8810000000,4 digit,72,10
ANTI-INFLAMMATORY AGENTS,4415000000,4 digit,73,10
ANTI-INFLAMMATORY AGENTS - TOPICAL,9021000000,4 digit,74,10
ANTI-OBESITY AGENTS,6125000000,4 digit,75,10
ANTI-TNF-ALPHA - MONOCLONOAL ANTIBODIES,6627000000,4 digit,76,10
ANTIADRENERGIC ANTIHYPERTENSIVES,3620000000,4 digit,77,10
ANTIALLERGY AGENTS - MOUTH/THROAT,8827000000,4 digit,78,10
ANTIANGINALS-OTHER,3220000000,4 digit,79,10
ANTIANXIETY AGENT COMBINATIONS,5799000000,4 digit,80,10
ANTIANXIETY AGENTS - MISC.,5720000000,4 digit,81,10
ANTIARRHYTHMICS - MISC.,3550000000,4 digit,82,10
ANTIARRHYTHMICS TYPE I-A,3510000000,4 digit,83,10
ANTIARRHYTHMICS TYPE I-B,3520000000,4 digit,84,10
ANTIARRHYTHMICS TYPE I-C,3530000000,4 digit,85,10
ANTIARRHYTHMICS TYPE III,3540000000,4 digit,86,10
ANTIASTHMATIC - MONOCLONAL ANTIBODIES,4460000000,4 digit,87,10
ANTIBIOTICS - TOPICAL,9010000000,4 digit,88,10
ANTICONVULSANT COMBINATIONS,7299000000,4 digit,89,10
ANTICONVULSANTS - BENZODIAZEPINES,7210000000,4 digit,90,10
ANTICONVULSANTS - MISC.,7260000000,4 digit,91,10
ANTIDEMENTIA AGENTS,6205000000,4 digit,92,10
ANTIDEPRESSANT COMBINATIONS,5899000000,4 digit,93,10
ANTIDEPRESSANTS - MISC.,5830000000,4 digit,94,10
ANTIDIABETIC - AMYLIN ANALOGS,2715000000,4 digit,95,10
ANTIDIABETIC COMBINATIONS,2799000000,4 digit,96,10
ANTIDIARRHEAL AGENTS - MISC.,4730000000,4 digit,97,10
ANTIDIARRHEAL COMBINATIONS,4799000000,4 digit,98,10
ANTIDOTE COMBINATIONS AND KITS,9399000000,4 digit,99,10
ANTIDOTES,9300000000,4 digit,100,10
ANTIDOTES - CHELATING AGENTS,9310000000,4 digit,101,10
ANTIEMETICS - ANTICHOLINERGIC,5020000000,4 digit,102,10
ANTIEMETICS - MISCELLANEOUS,5030000000,4 digit,103,10
ANTIFLATULENTS,5220000000,4 digit,104,10
ANTIFUNGAL - GLUCAN SYNTHESIS INHIBITORS (ECHINOCANDINS),1150000000,4 digit,105,10
ANTIFUNGALS,1100000000,4 digit,106,10
ANTIFUNGALS - TOPICAL,9015000000,4 digit,107,10
ANTIHEMOPHILIC PRODUCTS,8510000000,4 digit,108,10
ANTIHISTAMINE HYPNOTICS,6030000000,4 digit,109,10
ANTIHISTAMINES - ALKYLAMINES,4110000000,4 digit,110,10
ANTIHISTAMINES - COMBINATIONS,4199000000,4 digit,111,10
ANTIHISTAMINES - ETHANOLAMINES,4120000000,4 digit,112,10
ANTIHISTAMINES - ETHYLENEDIAMINES,4130000000,4 digit,113,10
ANTIHISTAMINES - NON-SEDATING,4155000000,4 digit,114,10
ANTIHISTAMINES - PHENOTHIAZINES,4140000000,4 digit,115,10
ANTIHISTAMINES - PIPERIDINES,4150000000,4 digit,116,10
ANTIHISTAMINES-TOPICAL,9020000000,4 digit,117,10
ANTIHYPERLIPIDEMICS - COMBINATIONS,3999000000,4 digit,118,10
ANTIHYPERLIPIDEMICS - MISC.,3950000000,4 digit,119,10
ANTIHYPERTENSIVE COMBINATIONS,3699000000,4 digit,120,10
ANTIHYPERTENSIVES - MISC.,3660000000,4 digit,121,10
ANTIMALARIAL COMBINATIONS,1399000000,4 digit,122,10
ANTIMALARIALS,1300000000,4 digit,123,10
ANTIMANIC AGENTS,5950000000,4 digit,124,10
ANTIMETABOLITES,2130000000,4 digit,125,10
ANTIMICROBIAL AGENTS,9810000000,4 digit,126,10
ANTIMYASTHENIC AGENTS,7600000000,4 digit,127,10
ANTIMYASTHENIC COMBINATIONS,7699000000,4 digit,128,10
ANTIMYCOBACTERIAL AGENTS,0900000000,4 digit,129,10
ANTINEOPLASTIC - ANGIOGENESIS INHIBITORS,2133000000,4 digit,130,10
ANTINEOPLASTIC - ANTIBODIES,2135000000,4 digit,131,10
ANTINEOPLASTIC - CELLULAR IMMUNOTHERAPY,2165000000,4 digit,132,10
ANTINEOPLASTIC - HEDGEHOG PATHWAY INHIBITORS,2137000000,4 digit,133,10
ANTINEOPLASTIC - HORMONAL AND RELATED AGENTS,2140000000,4 digit,134,10
ANTINEOPLASTIC - IMMUNOMODULATORS,2145000000,4 digit,135,10
ANTINEOPLASTIC ANTIBIOTICS,2120000000,4 digit,136,10
ANTINEOPLASTIC COMBINATIONS,2199000000,4 digit,137,10
ANTINEOPLASTIC ENZYME INHIBITORS,2153000000,4 digit,138,10
ANTINEOPLASTIC ENZYMES,2125000000,4 digit,139,10
ANTINEOPLASTIC OR PREMALIGNANT LESION AGENTS - TOPICAL,9037000000,4 digit,140,10
ANTINEOPLASTIC RADIOPHARMACEUTICALS,2160000000,4 digit,141,10
ANTINEOPLASTICS MISC.,2170000000,4 digit,142,10
ANTIPARKINSON ADJUVANTS,7340000000,4 digit,143,10
ANTIPARKINSON ANTICHOLINERGICS,7310000000,4 digit,144,10
ANTIPARKINSON COMT INHIBITORS,7315000000,4 digit,145,10
ANTIPARKINSON DOPAMINERGICS,7320000000,4 digit,146,10
ANTIPARKINSON MONOAMINE OXIDASE INHIBITORS,7330000000,4 digit,147,10
ANTIPERISTALTIC AGENTS,4710000000,4 digit,148,10
ANTIPROTOZOAL AGENTS,1640000000,4 digit,149,10
ANTIPRURITICS - TOPICAL,9022000000,4 digit,150,10
ANTIPSORIATICS,9025000000,4 digit,151,10
ANTIPSYCHOTICS - MISC.,5940000000,4 digit,152,10
ANTIRETROVIRALS,1210000000,4 digit,153,10
ANTIRHEUMATIC ANTIMETABOLITES,6625000000,4 digit,154,10
ANTISEBORRHEIC PRODUCTS,9030000000,4 digit,155,10
ANTISEPTIC COMBINATIONS,9299000000,4 digit,156,10
ANTISEPTICS & DISINFECTANTS,9200000000,4 digit,157,10
ANTISEPTICS - MOUTH/THROAT,8815000000,4 digit,158,10
ANTISPASMODICS,4910000000,4 digit,159,10
ANTITHYROID AGENTS,2830000000,4 digit,160,10
ANTITOXINS-ANTIVENINS,1920000000,4 digit,161,10
ANTITUSSIVES,4310000000,4 digit,162,10
ANTIVIRAL COMBINATIONS,1299000000,4 digit,163,10
ANTIVIRALS - TOPICAL,9035000000,4 digit,164,10
ARTICULAR CARTILAGE REPAIR THERAPY,7584000000,4 digit,165,10
ARTIFICIAL TEARS AND LUBRICANTS,8620000000,4 digit,166,10
ASSORTED CLASSES,9900000000,4 digit,167,10
ASTHMA AND BRONCHODILATOR AGENT COMBINATIONS,4499000000,4 digit,168,10
ATTENTION-DEFICIT/HYPERACTIVITY DISORDER (ADHD) AGENTS,6135000000,4 digit,169,10
AUDITORY SUPPLIES,9757000000,4 digit,170,10
AZITHROMYCIN,0340000000,4 digit,171,10
B-COMPLEX VITAMINS,7811000000,4 digit,172,10
B-COMPLEX W/ C,7812000000,4 digit,173,10
B-COMPLEX W/ FOLIC ACID,7813000000,4 digit,174,10
B-COMPLEX W/ IRON,7814000000,4 digit,175,10
B-COMPLEX W/ MINERALS,7815000000,4 digit,176,10
BACK PLASTERS,9739000000,4 digit,177,10
BACTERIAL VACCINES,1720000000,4 digit,178,10
BANDAGES-DRESSINGS-TAPE,9730000000,4 digit,179,10
BARBITURATE ANESTHETICS,7010000000,4 digit,180,10
BARBITURATE HYPNOTICS,6010000000,4 digit,181,10
BATH PRODUCTS,9040000000,4 digit,182,10
BENZISOXAZOLES,5907000000,4 digit,183,10
BENZODIAZEPINE ANTAGONISTS,9320000000,4 digit,184,10
BENZODIAZEPINES,5710000000,4 digit,185,10
BETA BLOCKER COMBINATIONS,3399000000,4 digit,186,10
BETA BLOCKERS CARDIO-SELECTIVE,3320000000,4 digit,187,10
BETA BLOCKERS NON-SELECTIVE,3310000000,4 digit,188,10
BETA-BLOCKERS - OPHTHALMIC,8625000000,4 digit,189,10
BICARBONATES,7905000000,4 digit,190,10
BIGUANIDES,2725000000,4 digit,191,10
BILE ACID SEQUESTRANTS,3910000000,4 digit,192,10
BIOFLAVONOID PRODUCTS,7816000000,4 digit,193,10
BIOLOGICALS MISC,2000000000,4 digit,194,10
BLOOD MONITORING SUPPLIES,9722000000,4 digit,195,10
BLOOD PRESSURE DEVICES,9775000000,4 digit,196,10
BONE DENSITY REGULATORS,3004000000,4 digit,197,10
BRADYKININ B2 RECEPTOR ANTAGONISTS,8582000000,4 digit,198,10
BRONCHODILATORS - ANTICHOLINERGICS,4410000000,4 digit,199,10
BULK CHEMICALS,9690000000,4 digit,200,10
BULK CHEMICALS - A'S,9642000000,4 digit,201,10
BULK CHEMICALS - B'S,9644000000,4 digit,202,10
BULK CHEMICALS - C'S,9646000000,4 digit,203,10
BULK CHEMICALS - D'S,9648000000,4 digit,204,10
BULK CHEMICALS - E'S,9650000000,4 digit,205,10
BULK CHEMICALS - F'S,9652000000,4 digit,206,10
BULK CHEMICALS - G'S,9654000000,4 digit,207,10
BULK CHEMICALS - H'S,9656000000,4 digit,208,10
BULK CHEMICALS - I'S,9658000000,4 digit,209,10
BULK CHEMICALS - J'S,9660000000,4 digit,210,10
BULK CHEMICALS - K'S,9662000000,4 digit,211,10
BULK CHEMICALS - L'S,9664000000,4 digit,212,10
BULK CHEMICALS - M'S,9666000000,4 digit,213,10
BULK CHEMICALS - N'S,9668000000,4 digit,214,10
BULK CHEMICALS - O'S,9670000000,4 digit,215,10
BULK CHEMICALS - P'S,9672000000,4 digit,216,10
BULK CHEMICALS - Q'S,9674000000,4 digit,217,10
BULK CHEMICALS - R'S,9676000000,4 digit,218,10
BULK CHEMICALS - S'S,9678000000,4 digit,219,10
BULK CHEMICALS - T'S,9680000000,4 digit,220,10
BULK CHEMICALS - U'S,9682000000,4 digit,221,10
BULK CHEMICALS - V'S,9684000000,4 digit,222,10
BULK CHEMICALS - W'S,9686000000,4 digit,223,10
BULK CHEMICALS - X,9687000000,4 digit,224,10
BULK CHEMICALS - Y'S,9688000000,4 digit,225,10
BULK CHEMICALS - Z'S,9689000000,4 digit,226,10
BULK LAXATIVES,4630000000,4 digit,227,10
BURN PRODUCTS,9045000000,4 digit,228,10
BUTYROPHENONES,5910000000,4 digit,229,10
CALCIUM,7910000000,4 digit,230,10
CALCIUM CHANNEL BLOCKER COMBINATIONS,3499000000,4 digit,231,10
CALCIUM CHANNEL BLOCKERS,3400000000,4 digit,232,10
CARBAMATES,7212000000,4 digit,233,10
CARBAPENEMS,1615000000,4 digit,234,10
CARBOHYDRATES,8010000000,4 digit,235,10
CARBONIC ANHYDRASE INHIBITORS,3710000000,4 digit,236,10
CARDIAC GLYCOSIDES,3120000000,4 digit,237,10
CARDIOLOGY SUPPLIES,9708000000,4 digit,238,10
CARDIOPLEGIC SOLUTIONS,4020000000,4 digit,239,10
CARDIOVASCULAR AGENTS MISC. - COMBINATIONS,4099000000,4 digit,240,10
CAUTERIZING AGENTS,9050000000,4 digit,241,10
CENTRAL MUSCLE RELAXANTS,7510000000,4 digit,242,10
CEPHALOSPORINS - 1ST GENERATION,0210000000,4 digit,243,10
CEPHALOSPORINS - 2ND GENERATION,0220000000,4 digit,244,10
CEPHALOSPORINS - 3RD GENERATION,0230000000,4 digit,245,10
CEPHALOSPORINS - 4TH GENERATION,0240000000,4 digit,246,10
CEPHALOSPORINS - 5TH GENERATION,0250000000,4 digit,247,10
CHELATING AGENTS,9920000000,4 digit,248,10
CHEMOTHERAPY ADJUNCTS,2176000000,4 digit,249,10
CHEMOTHERAPY RESCUE/ANTIDOTE AGENTS,2175000000,4 digit,250,10
CHLORAMPHENICOLS,1620000000,4 digit,251,10
CHLORIDE,7920000000,4 digit,252,10
CHLORINE ANTISEPTICS,9210000000,4 digit,253,10
CLARITHROMYCIN,0350000000,4 digit,254,10
CMV AGENTS,1220000000,4 digit,255,10
COBALAMINS,8210000000,4 digit,256,10
COLORING AGENTS,9830000000,4 digit,257,10
COMBINATION CONTRACEPTIVES - ORAL,2599000000,4 digit,258,10
COMBINATION CONTRACEPTIVES - TRANSDERMAL,2596000000,4 digit,259,10
COMBINATION CONTRACEPTIVES - VAGINAL,2597000000,4 digit,260,10
COMBINATION PSYCHOTHERAPEUTICS,6299000000,4 digit,261,10
COMPLEMENT INHIBITORS,8580000000,4 digit,262,10
CONCEPTION ASSISTANCE SUPPLIES,9742000000,4 digit,263,10
CONTACT LENS SOLUTIONS,8690000000,4 digit,264,10
CONTINUOUS RENAL REPLACEMENT THERAPY (CRRT) SOLUTIONS,9972000000,4 digit,265,10
CONTRACEPTIVES,9740000000,4 digit,266,10
CORTICOSTEROIDS - TOPICAL,9055000000,4 digit,267,10
CORTICOTROPIN,3030000000,4 digit,268,10
COUGH/COLD/ALLERGY COMBINATIONS,4399000000,4 digit,269,10
COUMARIN ANTICOAGULANTS,8320000000,4 digit,270,10
CYCLIC LIPOPEPTIDES,1627000000,4 digit,271,10
CYCLOPLEGIC MYDRIATICS,8635000000,4 digit,272,10
CYSTIC FIBROSIS AGENTS,4530000000,4 digit,273,10
CYSTINOSIS AGENTS,5640000000,4 digit,274,10
DELIVERY DEVICES,9865000000,4 digit,275,10
DENTAL PRODUCTS,8840000000,4 digit,276,10
DEPOLARIZING MUSCLE RELAXANTS,7410000000,4 digit,277,10
DIABETIC OTHER,2730000000,4 digit,278,10
DIABETIC SUPPLIES,9720000000,4 digit,279,10
DIAGNOSTIC BIOLOGICALS,9430000000,4 digit,280,10
DIAGNOSTIC DRUGS,9420000000,4 digit,281,10
